"TESTING PROCEDURE","REFERENCE NAME","EVIDENCE CATEGORY","REASONING"
"3.5.1.1.b","Requirement 3.5.1.1.b Key Management Procedures for Keyed Cryptographic Hashes Documentation Examination","Documentation Evidence","This part involves examining documentation about key management procedures and processes associated with the keyed cryptographic hashes to verify that keys are managed in accordance with PCI DSS Requirements 3.6 and 3.7, aligning with the review of documents."
"3.5.1.1.c","Requirement 3.5.1.1.c PAN Rendering Unreadable in Data Repositories Verification Examination","Documentation Evidence","This involves examining data repositories to verify the PAN is rendered unreadable, fitting under the review of documents."
"3.5.1.1.d","Requirement 3.5.1.1.d PAN Rendering Unreadable Verification in Audit and Payment Application Logs Examination","Documentation Evidence","This requires examining audit logs, including payment application logs, to verify that the PAN is rendered unreadable, aligning with the review of documents."
"3.5.1.2.a","Requirement 3.5.1.2.a Disk or Partition-Level Encryption for PAN Rendering Unreadable Processes Examination","Documentation Evidence","This involves examining encryption processes to verify that, if disk-level or partition-level encryption is used to render Primary Account Number (PAN) unreadable, it is implemented correctly: either on removable electronic media or, if used for non-removable electronic media, that PAN is also rendered unreadable via another method meeting Requirement 3.5.1, aligning with the review of documents."
"3.5.1.2.b (Part 1 - Examine Configurations and Vendor Documentation)","Requirement 3.5.1.2.b Disk or Partition-Level Encryption Configuration and Vendor Documentation Compliance Examination","Documentation Evidence","This part involves examining configurations and vendor documentation to verify that the system is configured according to vendor guidelines and that the result is the disk or partition being rendered unreadable, fitting under the review of documents."
"3.5.1.2.b (Part 2 - Observe Encryption Processes)","Requirement 3.5.1.2.b Disk or Partition-Level Encryption Process Implementation Observation","Observation Evidence","This requires observing the encryption processes to confirm that the system is configured to render the disk or partition unreadable as per vendor documentation, aligning with the observation of processes."
"3.5.1.3.a","Requirement 3.5.1.3.a Disk or Partition-Level Encryption Logical Access Control System Configurations and Authentication Process Observation","Documentation Evidence and Observation Evidence","This involves examining the system configuration and observing the authentication process to verify that logical access is implemented in accordance with all specified elements when disk-level or partition-level encryption is used to render the Primary Account Number (PAN) unreadable, aligning with the review of documents and the observation of processes."
"3.5.1.3.b (Part 1 - Examine Files Containing Authentication Factors)","Requirement 3.5.1.3.b Authentication Factors Secure Storage for Disk or Partition-Level Encryption Files Examination","Documentation Evidence","This part involves examining files containing authentication factors (such as passwords, passphrases, or cryptographic keys) to verify that they are stored securely and are independent from the native operating system???s authentication and access control methods, fitting under the review of documents."
"3.5.1.3.b (Part 2 - Interview Personnel)","Requirement 3.5.1.3.b Authentication Factors Independent Storage and Security Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that authentication factors allowing access to unencrypted data are stored securely and independently from the operating system's native methods, aligning with the collection of interview notes."
"3.6.1","Requirement 3.6.1.. Key-Management Policies and Procedures for Stored Account Data Protection Examination","Documentation Evidence","This involves examining documented key-management policies and procedures to verify that processes to protect cryptographic keys used to protect stored account data against disclosure and misuse are defined to include all elements specified in this requirement, fitting under the review of documents."
"3.6.1.1 (Part 1 - Interview Responsible Personnel)","Requirement 3.6.1.1. Service Provider Cryptographic Architecture Documentation Verification Interviews","Interview Evidence","This involves interviewing responsible personnel to verify that a document exists describing the cryptographic architecture, which includes all elements specified in the requirement, aligning with the collection of interview notes."
"3.6.1.1 (Part 2 - Examine Documentation)","Requirement 3.6.1.1. Service Provider Cryptographic Architecture Comprehensive Documentation Examination","Documentation Evidence","This part involves examining documentation to confirm that there is a comprehensive document describing the cryptographic architecture, including all specified elements for service providers, fitting under the review of documents."
"3.6.1.2.a","Requirement 3.6.1.2.a Cryptographic Keys for Stored Account Data Forms Definition in Documented Procedures Examination","Documentation Evidence","This involves examining documented procedures to verify that it is defined that cryptographic keys used to encrypt/decrypt stored account data must exist only in one or more of the forms specified in this requirement, fitting under the review of documents."
"3.6.1.2.b","Requirement 3.6.1.2.b Stored Account Data Cryptographic Key Forms Compliance in System Configurations and Key Storage Locations Examination","Documentation Evidence","This part involves examining system configurations and key storage locations to verify that cryptographic keys used to encrypt/decrypt stored account data exist in one or more of the specified forms, aligning with the review of documents."
"3.6.1.2.c","Requirement 3.6.1.2.c Key-Encrypting Keys Strength and Storage Separation Verification in System Configurations and Key Storage Locations Examination","Documentation Evidence","This involves examining system configurations and key storage locations to verify that key-encrypting keys are at least as strong as the data-encrypting keys they protect and that they are stored separately from data-encrypting keys, fitting under the review of documents."
"3.6.1.3","Requirement 3.6.1.3. Cleartext Cryptographic Key Component Access Restriction User Access Lists Examination","Documentation Evidence","This involves examining user access lists to verify that access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary, aligning with the review of documents."
"3.6.1.4 (Part 1 - Examine Key Storage Locations)","Requirement 3.6.1.4. Cryptographic Keys Minimal Storage Locations Examination","Documentation Evidence","This involves examining key storage locations to verify that keys are stored in the fewest possible locations, aligning with the review of documents for minimal and secure key storage practices."
"3.6.1.4 (Part 2 - Observe Processes)","Requirement 3.6.1.4. Cryptographic Key Storage Process Efficiency Observation","Observation Evidence","This requires observing the processes related to cryptographic key storage to confirm that the practices minimize the number of storage locations, aligning with the observation of processes to ensure adherence to secure key storage principles."
"3.7.1.a","Requirement 3.7.1..a Strong Cryptographic Keys Generation Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define the generation of strong cryptographic keys, fitting under the review of documents."
"3.7.1.b","Requirement 3.7.1..b Strong Cryptographic Keys Generation Method Observation","Observation Evidence","This part involves observing the method for generating keys to verify that strong keys are generated, aligning with the observation of processes to ensure the generation of robust cryptographic keys."
"3.7.2.a","Requirement 3.7.2..a Cryptographic Keys Secure Distribution Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define the secure distribution of cryptographic keys, fitting under the review of documents."
"3.7.2.b","Requirement 3.7.2..b Cryptographic Keys Secure Distribution Method Observation","Observation Evidence","This part involves observing the method for distributing keys to verify that keys are distributed securely, aligning with the observation of processes to ensure the secure and safe distribution of cryptographic keys."
"3.7.3.a","Requirement 3.7.3..a Cryptographic Keys Secure Storage Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define the secure storage of cryptographic keys, fitting under the review of documents."
"3.7.3.b","Requirement 3.7.3..b Cryptographic Keys Secure Storage Method Observation","Observation Evidence","This part involves observing the method for storing keys to verify that keys are stored securely, aligning with the observation of processes to ensure the secure and proper storage of cryptographic keys."
"3.7.4.a","Requirement 3.7.4..a Cryptographic Keys End of Cryptoperiod Change Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define changes to cryptographic keys that have reached the end of their cryptoperiod and include all elements specified in this requirement, fitting under the review of documents."
"3.7.4.b (Part 1 - Interview Personnel)","Requirement 3.7.4..b Cryptographic Key Cryptoperiod Expiration Management Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that keys are changed at the end of the defined cryptoperiod(s), aligning with the collection of interview notes."
"3.7.4.b (Part 2 - Examine Documentation)","Requirement 3.7.4..b Cryptographic Key Cryptoperiod Expiration Documentation Examination","Documentation Evidence","This part involves examining documentation related to the management of cryptographic key cryptoperiods to ensure compliance with the policies, fitting under the review of documents."
"3.7.4.b (Part 3 - Observe Key Storage Locations)","Requirement 3.7.4..b Cryptographic Key Cryptoperiod Expiration in Key Storage Locations Observation","Observation Evidence","This requires observing key storage locations to confirm that keys are changed at the end of their cryptoperiods, aligning with the observation of processes and storage practices."
"3.7.5.a","Requirement 3.7.5..a Cryptographic Keys Retirement Replacement or Destruction Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define the retirement, replacement, or destruction of keys in accordance with all elements specified in this requirement, fitting under the review of documents."
"3.7.5.b","Requirement 3.7.5..b Key Management Processes Implementation Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that processes for the retirement, replacement, or destruction of cryptographic keys are implemented in accordance with all specified elements, aligning with the collection of interview notes."
"3.7.6.a","Requirement 3.7.6..a Split Knowledge and Dual Control in Key Management Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define the use of split knowledge and dual control, aligning with the review of documents."
"3.7.6.b (Part 1 - Interview Personnel)","Requirement 3.7.6..b Manual Cleartext Key Management with Split Knowledge and Dual Control Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that manual cleartext keys are managed with split knowledge and dual control, aligning with the collection of interview notes."
"3.7.6.b (Part 2 - Observe Processes)","Requirement 3.7.6..b Manual Cleartext Key Management Process Observation for Split Knowledge and Dual Control","Observation Evidence","This involves observing processes to confirm that manual cleartext keys are managed in accordance with the principles of split knowledge and dual control, aligning with the observation of processes."
"3.7.7.a","Requirement 3.7.7..a Unauthorized Cryptographic Key Substitution Prevention Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define the prevention of unauthorized substitution of cryptographic keys, fitting under the review of documents."
"3.7.7.b (Part 1 - Interview Personnel)","Requirement 3.7.7..b Unauthorized Key Substitution Prevention Measures Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that unauthorized substitution of cryptographic keys is prevented, aligning with the collection of interview notes."
"3.7.7.b (Part 2 - Observe Processes)","Requirement 3.7.7..b Cryptographic Key Substitution Prevention Process Observation","Observation Evidence","This involves observing processes to confirm that unauthorized substitution of cryptographic keys is effectively prevented, aligning with the observation of processes."
"3.7.8.a","Requirement 3.7.8..a Key Custodian Acknowledgments in Key Management Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining the documented key-management policies and procedures for keys used for the protection of stored account data to verify that they define acknowledgments for key custodians in accordance with all specified elements, fitting under the review of documents."
"3.7.8.b","Requirement 3.7.8..b Key Custodian Acknowledgments Compliance Documentation Examination","Documentation Evidence","This part involves examining documentation or other evidence showing that key custodians have provided acknowledgments in accordance with all elements specified in this requirement, aligning with the review of documents."
"3.7.9","Requirement 3.7.9.. Service Provider Customer Key Management Guidance Documentation Examination","Documentation Evidence","This involves examining the documentation that the service provider provides to its customers to verify it includes guidance on how to securely transmit, store, and update customers??? cryptographic keys. This guidance must be in accordance with all elements specified in Requirements 3.7.1 through 3.7.8, fitting under the review of documents."
"4.1.1 (Part 1 - Examine Documentation)","Requirement 4.1.1.. Security Policies and Operational Procedures for Requirement 4 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 4 are managed in accordance with all specified elements, fitting under the review of documents."
"4.1.1 (Part 2 - Interview Personnel)","Requirement 4.1.1.. Security Policies and Operational Procedures for Requirement 4 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 4 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"4.1.2.a","Requirement 4.1.2..a Roles and Responsibilities for Requirement 4 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 4 are documented and assigned, fitting under the review of documents."
"4.1.2.b","Requirement 4.1.2..b Roles and Responsibilities for Requirement 4 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel with responsibility for performing activities in Requirement 4 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"4.2.1.a","Requirement 4.2.1..a Policies and Procedures for Strong Cryptography and Security Protocols Documentation Examination","Documentation Evidence and Interview Evidence","This involves examining documented policies and procedures and interviewing personnel to verify that processes are defined to include all elements specified in this requirement, fitting under the review of documents and aligning with the collection of interview notes."
"4.2.1.b","Requirement 4.2.1..b Strong Cryptography and Security Protocols Implementation in System Configurations Examination","Documentation Evidence","This part involves examining system configurations to verify that strong cryptography and security protocols are implemented in accordance with all specified elements, aligning with the review of documents."
"4.2.1.c","Requirement 4.2.1..c PAN Encryption in Cardholder Data Transmissions over Open Public Networks Examination","Documentation Evidence","This involves examining cardholder data transmissions to verify that all Primary Account Number (PAN) is encrypted with strong cryptography when it is transmitted over open, public networks, fitting under the review of documents."
"4.2.1.d","Requirement 4.2.1..d Untrusted Keys and Certificates Rejection in System Configurations Examination","Documentation Evidence","This requires examining system configurations to verify that keys and/or certificates that cannot be verified as trusted are rejected, aligning with the review of documents."
"4.2.1.1.a","Requirement 4.2.1.1.a Trusted Keys and Certificates Inventory Maintenance Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining documented policies and procedures to verify that processes are defined for the entity to maintain an inventory of its trusted keys and certificates, fitting under the review of documents."
"4.2.1.1.b","Requirement 4.2.1.1.b Trusted Keys and Certificates Inventory Up-to-Date Verification Examination","Documentation Evidence","This part involves examining the inventory of trusted keys and certificates to verify it is kept up to date, aligning with the review of documents."
"4.2.1.2","Requirement 4.2.1.2. Wireless Networks Strong Cryptography Implementation for PAN Transmission and CDE Connection System Configurations Examination","Documentation Evidence","This involves examining system configurations to verify that wireless networks transmitting Primary Account Number (PAN) or connected to the Cardholder Data Environment (CDE) use industry best practices to implement strong cryptography for authentication and transmission, fitting under the review of documents."
"4.2.2.a","Requirement 4.2.2..a PAN Security via Strong Cryptography in End-User Messaging Technologies Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining documented policies and procedures to verify that processes are defined to secure the Primary Account Number (PAN) with strong cryptography whenever sent over end-user messaging technologies, fitting under the review of documents."
"4.2.2.b (Part 1 - Examine System Configurations)","Requirement 4.2.2..b PAN Security in End-User Messaging Technologies System Configurations Examination","Documentation Evidence","This part involves examining system configurations to verify that PAN is secured with strong cryptography whenever it is sent via end-user messaging technologies, aligning with the review of documents."
"4.2.2.b (Part 2 - Examine Vendor Documentation)","Requirement 4.2.2..b End-User Messaging Technologies PAN Security Vendor Documentation Examination","Documentation Evidence","This requires examining vendor documentation to confirm the implementation of strong cryptographic security for PAN when transmitted via end-user messaging technologies, fitting under the review of documents."
"5.1.1 (Part 1 - Examine Documentation)","Requirement 5.1.1.. Security Policies and Operational Procedures for Requirement 5 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 5 are managed in accordance with all specified elements, fitting under the review of documents."
"5.1.1 (Part 2 - Interview Personnel)","Requirement 5.1.1.. Security Policies and Operational Procedures for Requirement 5 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 5 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"5.1.2.a","Requirement 5.1.2..a Roles and Responsibilities for Requirement 5 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 5 are documented and assigned, fitting under the review of documents."
"5.1.2.b","Requirement 5.1.2..b Roles and Responsibilities for Requirement 5 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel with responsibility for performing activities in Requirement 5 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"5.2.1.a","Requirement 5.2.1..a Anti-Malware Solution Deployment on System Components Verification Examination","Documentation Evidence","This involves examining system components to verify that an anti-malware solution is deployed on all system components, except for those determined to not be at risk from malware, fitting under the review of documents."
"5.2.1.b","Requirement 5.2.1..b Periodic Malware Risk Evaluations for System Components Without Anti-Malware Examination","Documentation Evidence","This part involves examining the periodic evaluations for any system components without an anti-malware solution to verify that each component was evaluated and the evaluation concludes that the component is not at risk from malware, aligning with the review of documents."
"5.2.2 (Part 1 - Examine Vendor Documentation)","Requirement 5.2.2.. Anti-Malware Solution Comprehensive Malware Detection Vendor Documentation Examination","Documentation Evidence","This involves examining vendor documentation of the anti-malware solution(s) to verify that the solution detects all known types of malware, fitting under the review of documents."
"5.2.2 (Part 2 - Examine Configurations)","Requirement 5.2.2.. Anti-Malware Solution Malware Removal, Blocking, or Containment Capabilities Configuration Examination","Documentation Evidence","This part involves examining the configurations of the anti-malware solution(s) to confirm that the solution removes, blocks, or contains all known types of malware, aligning with the review of documents."
"5.2.3.a","Requirement 5.2.3..a Malware Risk Evaluation Process for System Components Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining documented policies and procedures to verify that a process is defined for periodic evaluations of any system components that are not at risk for malware, which includes all elements specified in this requirement, fitting under the review of documents."
"5.2.3.b","Requirement 5.2.3..b Malware Risk Evaluation Process Implementation Verification Interviews","Interview Evidence","This requires interviewing personnel to verify that the evaluations include all elements specified in this requirement, aligning with the collection of interview notes."
"5.2.3.c","Requirement 5.2.3..c System Components Malware Risk and Anti-Malware Solution Deployment Consistency Examination","Documentation Evidence","This involves examining the list of system components identified as not at risk of malware and comparing it to the system components without an anti-malware solution deployed per Requirement 5.2.1 to verify that the system components match for both requirements, fitting under the review of documents."
"5.2.3.1.a","Requirement 5.2.3.1.a Targeted Risk Analysis for Malware Risk Evaluation Frequency Examination","Documentation Evidence","This involves examining the entity's targeted risk analysis for the frequency of periodic evaluations of system components identified as not at risk for malware to verify the risk analysis was performed in accordance with all elements specified in Requirement 12.3.1, fitting under the review of documents."
"5.2.3.1.b (Part 1 - Examine Documented Results)","Requirement 5.2.3.1.b Periodic Malware Risk Evaluation Results in Accordance with Risk Analysis Documentation Examination","Documentation Evidence","This part involves examining documented results of periodic evaluations of system components identified as not at risk for malware to verify that evaluations are performed at the frequency defined in the entity???s targeted risk analysis, aligning with the review of documents."
"5.2.3.1.b (Part 2 - Interview Personnel)","Requirement 5.2.3.1.b Periodic Malware Risk Evaluation Process Adherence Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that evaluations of system components not at risk for malware are performed at the frequency defined in the entity???s targeted risk analysis, aligning with the collection of interview notes."
"5.3.1.a","Requirement 5.3.1..a Anti-Malware Solutions Automatic Update Configuration Examination","Documentation Evidence","This involves examining anti-malware solution(s) configurations, including any master installation of the software, to verify the solution is configured to perform automatic updates, fitting under the review of documents."
"5.3.1.b (Part 1 - Examine System Components)","Requirement 5.3.1..b Current and Prompt Deployment of Anti-Malware Solutions in System Components Examination","Documentation Evidence","This part involves examining system components to verify that the anti-malware solution(s) and definitions are current and have been promptly deployed, aligning with the review of documents."
"5.3.1.b (Part 2 - Examine Logs)","Requirement 5.3.1..b Anti-Malware Solutions Update Logs Verification Examination","Documentation Evidence","This requires examining logs to confirm that the anti-malware solutions and definitions are up-to-date and have been deployed in a timely manner, fitting under the review of documents."
"5.3.2.a","Requirement 5.3.2..a Anti-Malware Solutions Specific Functionality Configuration Examination","Documentation Evidence","This involves examining anti-malware solution(s) configurations, including any master installation of the software, to verify the solution is configured to perform at least one of the elements specified in this requirement, fitting under the review of documents."
"5.3.2.b","Requirement 5.3.2..b Anti-Malware Solution Functionality Activation in System Components Examination","Documentation Evidence","This part involves examining system components, including all operating system types identified as at risk for malware, to verify the solution is enabled in accordance with at least one of the specified elements, aligning with the review of documents."
"5.3.2.c (Part 1 - Examine Logs)","Requirement 5.3.2..c Anti-Malware Solution Functionality in Logs Verification Examination","Documentation Evidence","This requires examining logs to confirm that the anti-malware solution is enabled in accordance with at least one of the elements specified in this requirement, fitting under the review of documents."
"5.3.2.c (Part 2 - Examine Scan Results)","Requirement 5.3.2..c Anti-Malware Solution Functionality in Scan Results Verification Examination","Documentation Evidence","This involves examining scan results to verify that the anti-malware solution is enabled and functioning in accordance with at least one of the specified elements, aligning with the review of documents."
"5.3.2.1.a","Requirement 5.3.2.1.a Periodic Malware Scan Frequency Targeted Risk Analysis Examination","Documentation Evidence","This involves examining the entity's targeted risk analysis for the frequency of periodic malware scans to verify the risk analysis was performed in accordance with all elements specified in Requirement 12.3.1, fitting under the review of documents."
"5.3.2.1.b (Part 1 - Examine Documented Results)","Requirement 5.3.2.1.b Periodic Malware Scans Adherence to Risk Analysis Results Documentation Examination","Documentation Evidence","This part involves examining documented results of periodic malware scans to verify that scans are performed at the frequency defined in the entity???s targeted risk analysis, aligning with the review of documents."
"5.3.2.1.b (Part 2 - Interview Personnel)","Requirement 5.3.2.1.b Periodic Malware Scan Frequency Implementation Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that periodic malware scans are conducted at the frequency defined in the entity???s targeted risk analysis, aligning with the collection of interview notes."
"5.3.3.a","Requirement 5.3.3..a Anti-Malware Solutions for Removable Electronic Media Configuration Examination","Documentation Evidence","This involves examining anti-malware solution(s) configurations to verify that, for removable electronic media, the solution is configured to perform at least one of the elements specified in this requirement, fitting under the review of documents."
"5.3.3.b","Requirement 5.3.3..b Anti-Malware Solution Functionality on System Components with Removable Media Examination","Documentation Evidence","This part involves examining system components with removable electronic media connected to verify that the solution is enabled in accordance with at least one of the specified elements, aligning with the review of documents."
"5.3.3.c (Part 1 - Examine Logs)","Requirement 5.3.3..c Anti-Malware Solution Activation Verification in Logs Examination","Documentation Evidence","This requires examining logs to confirm that the anti-malware solution is enabled in accordance with at least one of the elements specified in this requirement, fitting under the review of documents."
"5.3.3.c (Part 2 - Examine Scan Results)","Requirement 5.3.3..c Anti-Malware Solution Activation in Scan Results for Removable Media Verification Examination","Documentation Evidence","This involves examining scan results to verify that the anti-malware solution is enabled and functioning in accordance with at least one of the specified elements, aligning with the review of documents."
"5.3.4","Requirement 5.3.4.. Anti-Malware Solutions Logging Configuration in Accordance with Requirement 10 5 1 Examination","Documentation Evidence","This involves examining anti-malware solution(s) configurations to verify that logs are enabled and retained in accordance with Requirement 10.5.1, fitting under the review of documents."
"5.3.5.a","Requirement 5.3.5..a Anti-Malware Mechanisms User Alteration Prevention Configuration Examination","Documentation Evidence","This involves examining anti-malware configurations to verify that the anti-malware mechanisms cannot be disabled or altered by users, fitting under the review of documents."
"5.3.5.b (Part 1 - Interview Responsible Personnel)","Requirement 5.3.5..b Authorization and Documentation for Anti-Malware Mechanism Alteration Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to verify that any requests to disable or alter anti-malware mechanisms are specifically documented and authorized by management on a case-by-case basis for a limited time period, aligning with the collection of interview notes."
"5.3.5.b (Part 2 - Observe Processes)","Requirement 5.3.5..b Anti-Malware Mechanism Alteration Authorization Process Observation","Observation Evidence","This involves observing processes to confirm that any alterations to anti-malware mechanisms are appropriately documented and authorized, fitting under the observation of processes."
"5.4.1 (Part 1 - Observe Implemented Processes)","Requirement 5.4.1.. Phishing Attack Protection Processes Implementation Observation","Observation Evidence","This involves observing implemented processes to verify controls are in place to detect and protect personnel against phishing attacks, aligning with the observation of processes."
"5.4.1 (Part 2 - Examine Mechanisms)","Requirement 5.4.1.. Phishing Attack Protection Mechanisms Verification Examination","Documentation Evidence","This requires examining the mechanisms to confirm that controls are implemented to detect and protect against phishing attacks, fitting under the review of documents."
"6.1.1 (Part 1 - Examine Documentation)","Requirement 6.1.1.. Security Policies and Operational Procedures for Requirement 6 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 6 are managed in accordance with all specified elements, fitting under the review of documents."
"6.1.1 (Part 2 - Interview Personnel)","Requirement 6.1.1.. Security Policies and Operational Procedures for Requirement 6 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 6 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"6.1.2.a","Requirement 6.1.2..a Roles and Responsibilities for Requirement 6 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 6 are documented and assigned, fitting under the review of documents."
"6.1.2.b","Requirement 6.1.2..b Roles and Responsibilities for Requirement 6 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel responsible for performing activities in Requirement 6 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"6.2.1","Requirement 6.2.1.. Software Development Procedures Process Inclusion Documentation Examination","Documentation Evidence","This involves examining documented software development procedures to verify that processes are defined that include all elements specified in this requirement, fitting under the review of documents."
"6.2.2.a","Requirement 6.2.2..a Software Development Personnel Training Processes for Bespoke and Custom Software Documentation Examination","Documentation Evidence","This involves examining software development procedures to verify that processes are defined for training of software development personnel developing bespoke and custom software that includes all elements specified in this requirement, fitting under the review of documents."
"6.2.2.b (Part 1 - Examine Training Records)","Requirement 6.2.2..b Bespoke and Custom Software Development Personnel Training Records Examination","Documentation Evidence","This part involves examining training records to verify that software development personnel working on bespoke and custom software received software security training that is relevant to their job function and development languages in accordance with all elements specified in this requirement, aligning with the review of documents."
"6.2.2.b (Part 2 - Interview Personnel)","Requirement 6.2.2..b Bespoke and Custom Software Development Personnel Training Compliance Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that they received relevant software security training for their job functions in bespoke and custom software development, aligning with the collection of interview notes."
"6.2.3.a","Requirement 6.2.3..a Bespoke and Custom Software Development Review Process Documentation and Personnel Interview Examination","Documentation Evidence and Interview Evidence","This involves examining documented software development procedures and interviewing responsible personnel to verify that processes are defined that require all bespoke and custom software to be reviewed in accordance with all elements specified in this requirement, fitting under the review of documents and aligning with the collection of interview notes."
"6.2.3.b","Requirement 6.2.3..b Bespoke and Custom Software Code Changes Review Compliance Verification Examination","Documentation Evidence","This part involves examining evidence of changes to bespoke and custom software to verify that the code changes were reviewed in accordance with all elements specified in this requirement, aligning with the review of documents."
"6.2.3.1.a","Requirement 6.2.3.1.a Manual Code Review Process for Bespoke and Custom Software Documentation and Personnel Interview Examination","Documentation Evidence and Interview Evidence","This involves examining documented software development procedures and interviewing responsible personnel to verify that processes are defined for manual code reviews to be conducted in accordance with all elements specified in this requirement, fitting under the review of documents and aligning with the collection of interview notes."
"6.2.3.1.b (Part 1 - Examine Evidence of Changes)","Requirement 6.2.3.1.b Manual Code Review Compliance in Bespoke and Custom Software Changes Examination","Documentation Evidence","This part involves examining evidence of changes to bespoke and custom software to verify that manual code reviews were conducted in accordance with all elements specified in this requirement, aligning with the review of documents."
"6.2.3.1.b (Part 2 - Interview Personnel)","Requirement 6.2.3.1.b Manual Code Review Implementation in Bespoke and Custom Software Development Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that manual code reviews for bespoke and custom software were conducted in accordance with all specified elements, aligning with the collection of interview notes."
"6.2.4 (Part 1 - Examine Documented Procedures)","Requirement 6.2.4.. Bespoke and Custom Software Development Attack Mitigation Techniques Documentation Examination","Documentation Evidence","This involves examining documented procedures to verify that software engineering techniques or other methods are defined and in use by developers of bespoke and custom software to prevent or mitigate all common software attacks as specified in this requirement, fitting under the review of documents."
"6.2.4 (Part 2 - Interview Responsible Software Development Personnel)","Requirement 6.2.4.. Software Attack Mitigation Techniques Implementation in Bespoke and Custom Software Development Verification Interviews","Interview Evidence","This requires interviewing responsible software development personnel to confirm that appropriate software engineering techniques or other methods are in use to prevent or mitigate common software attacks in bespoke and custom software development, aligning with the collection of interview notes."
"6.3.1.a","Requirement 6.3.1..a Security Vulnerability Identification and Management Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures for identifying and managing security vulnerabilities to verify that processes are defined in accordance with all elements specified in this requirement, fitting under the review of documents."
"6.3.1.b (Part 1 - Interview Responsible Personnel)","Requirement 6.3.1..b Security Vulnerability Management Implementation Verification Interviews","Interview Evidence","This requires interviewing responsible personnel to verify that security vulnerabilities are identified and managed in accordance with all specified elements, aligning with the collection of interview notes."
"6.3.1.b (Part 2 - Examine Documentation)","Requirement 6.3.1..b Security Vulnerability Management Documentation Examination","Documentation Evidence","This part involves examining documentation related to the management of security vulnerabilities, aligning with the review of documents."
"6.3.1.b (Part 3 - Observe Processes)","Requirement 6.3.1..b Security Vulnerability Management Process Observation","Observation Evidence","This involves observing processes to confirm that security vulnerabilities are identified and managed in accordance with all specified elements, fitting under the observation of processes."
